case_id,dataset,trip_id,case_type,gt_frame,alert_frame,prev_identity,new_identity,decision_baseline,decision_memory,coincide_baseline_memory,n_frames_mostrados,note
112,random_04,1866501775173371,FP_MEMORY,,172,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #172,False,115,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
113,random_04,1867461775421243,FP_MEMORY,,30,,,CAMBIO_CONFIRMADO en frame #29,CAMBIO_CONFIRMADO en frame #30,True,100,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
114,random_04,1867461775421243,FP_MEMORY,,35,,,CAMBIO_CONFIRMADO en frame #29,CAMBIO_CONFIRMADO en frame #35,True,99,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
115,random_04,1791731775213498,FP_MEMORY,,92,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #92,False,15,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
116,random_04,1791731775213498,FP_MEMORY,,96,,,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #96,False,12,FP estricto: Prototype Memory confirmo CAMBIO_CONFIRMADO sin GT cercano (ventana=3)
117,reviewed_07,1211311783894610,CONFIRM_GT_SUSPECT,148.0,150,Identity_2,Identity_4,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #150,False,82,"CAMBIO_CONFIRMADO matchea un evento GT_SUSPECT (delay=2, razon GT: ambiguous_1frame_glitch)"
118,reviewed_07,1066121784207580,TP_CONTROL,3.0,4,Identity_2,Identity_4,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #4,False,86,Control: confirmacion correcta vs GT limpio (delay=1)
119,reviewed_07,1211261783900430,TP_CONTROL,80.0,78,Identity_1,Identity_2,CAMBIO_CONFIRMADO en frame #77,CAMBIO_CONFIRMADO en frame #78,True,21,Control: confirmacion correcta vs GT limpio (delay=-2)
120,reviewed_07,1211311784184210,TP_CONTROL,4.0,6,Identity_2,Identity_4,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #6,False,58,Control: confirmacion correcta vs GT limpio (delay=2)
121,reviewed_07,1214051784411800,TP_CONTROL,208.0,209,Identity_3,Identity_1,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #209,False,14,Control: confirmacion correcta vs GT limpio (delay=1)
122,reviewed_07,1214401783794570,TP_CONTROL,75.0,76,Identity_2,Identity_4,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #76,False,166,Control: confirmacion correcta vs GT limpio (delay=1)
123,reviewed_07,1213801782959270,TP_CONTROL,178.0,179,Identity_2,Identity_6,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #179,False,93,Control: confirmacion correcta vs GT limpio (delay=1)
124,reviewed_07,1065661783416050,TP_CONTROL,5.0,6,Identity_1,Identity_4,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #6,False,154,Control: confirmacion correcta vs GT limpio (delay=1)
125,reviewed_07,1214371783089590,TP_CONTROL,52.0,55,Identity_2,Identity_1,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #55,False,75,Control: confirmacion correcta vs GT limpio (delay=3)
126,reviewed_07,1065621784104400,TP_CONTROL,2.0,4,Identity_1,Identity_2,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #4,False,98,Control: confirmacion correcta vs GT limpio (delay=2)
127,reviewed_07,1062841784698540,TP_CONTROL,27.0,29,Identity_1,Identity_3,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #29,False,112,Control: confirmacion correcta vs GT limpio (delay=2)
128,random_04,1867131776405754,TP_CONTROL,13.0,16,Identity_1,Identity_3,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #16,False,200,Control: confirmacion correcta vs GT limpio (delay=3)
129,random_04,1823901776450046,TP_CONTROL,122.0,124,Identity_1,Identity_2,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #124,False,327,Control: confirmacion correcta vs GT limpio (delay=2)
130,random_04,716821775035356,TP_CONTROL,28.0,30,Identity_5,Identity_3,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #30,False,70,Control: confirmacion correcta vs GT limpio (delay=2)
131,random_04,716821775367857,TP_CONTROL,11.0,14,Identity_6,Identity_4,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #14,False,141,Control: confirmacion correcta vs GT limpio (delay=3)
132,random_04,1661531776393114,TP_CONTROL,99.0,100,Identity_2,Identity_3,Sin CAMBIO_CONFIRMADO en la ventana,CAMBIO_CONFIRMADO en frame #100,False,26,Control: confirmacion correcta vs GT limpio (delay=1)
